step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
9,2023-07-03 08:00:30.451829005,1,194.0,136.0,-1.5850970309627908,1.4083993309627942,0.1599999999999966,0.0166977
25,2023-07-03 08:01:02.739065129,1,194.12,133.0,-0.23636002175785553,0.21995502175785553,0.0,0.016405
39,2023-07-03 08:01:14.185830444,1,194.25,128.0,-0.23631442322316465,0.17959252322317262,0.03999999999999204,0.0167219
40,2023-07-03 08:01:14.185830444,2,194.26,242.0,-0.12703811803554585,0.08031621803554471,0.030000000000001137,0.0167219
46,2023-07-03 08:01:28.208889457,1,194.18,180.0,-0.14047960435155518,0.04399100435157111,0.07999999999998408,0.0164886
49,2023-07-03 08:01:54.802043714,1,194.25,75.0,-0.14594781023422126,0.12950601023422126,0.0,0.0164418
65,2023-07-03 08:03:14.348034555,1,194.2,238.0,-0.041859818204301576,0.025398218204301576,0.0,0.0164616
75,2023-07-03 08:03:30.071949082,1,194.13,117.0,-0.11186681820429475,0.025398218204301576,0.06999999999999318,0.0164686
77,2023-07-03 08:03:59.756134128,2,194.2,110.0,-0.16885340922580946,0.15238930922580946,0.0,0.0164641
87,2023-07-03 08:04:22.775930851,1,194.24,164.0,-0.10702691803553561,0.08031621803554471,0.009999999999990905,0.0167107
90,2023-07-03 08:04:22.775930851,1,194.25,249.0,-0.20630322322316352,0.17959252322317262,0.009999999999990905,0.0167107
114,2023-07-03 08:05:44.839501156,1,194.15,244.0,-0.1523808182042868,0.025398218204301576,0.10999999999998522,0.0169826
117,2023-07-03 08:05:44.839501156,2,194.12,213.0,-0.2372988180355311,0.08031621803554471,0.13999999999998636,0.0169826
118,2023-07-03 08:05:44.839501156,1,194.12,114.0,-0.2372988180355311,0.08031621803554471,0.13999999999998636,0.0169826
119,2023-07-03 08:05:44.839501156,2,194.11,72.0,-0.3255944218487264,0.1586118218487491,0.14999999999997726,0.0169826
125,2023-07-03 08:05:55.436487276,2,194.2,103.0,-0.29231462786780943,0.21551102786780715,0.060000000000002274,0.0168036
127,2023-07-03 08:05:55.436487276,1,194.12,235.0,-0.23711981803553106,0.08031621803554471,0.13999999999998636,0.0168036
132,2023-07-03 08:06:13.187564319,1,194.1,220.0,-0.22647331023423378,0.12950601023422126,0.0800000000000125,0.0169673
141,2023-07-03 08:06:26.517259528,2,194.0,53.0,-0.2223406182043084,0.025398218204301576,0.18000000000000682,0.0169424
152,2023-07-03 08:06:39.826437098,2,194.0,108.0,-0.11225241820429475,0.025398218204301576,0.06999999999999318,0.0168542
155,2023-07-03 08:06:39.827771604,2,194.0,122.0,-0.2005670848243751,0.11358428482438193,0.06999999999999318,0.0169828
179,2023-07-03 08:07:34.779124811,2,194.16,68.0,-0.04184681820430158,0.025398218204301576,0.0,0.0164486
190,2023-07-03 08:07:54.508834193,1,194.05,212.0,-0.1522985182042868,0.025398218204301576,0.10999999999998522,0.0169003
199,2023-07-03 08:08:05.494156630,2,194.07,92.0,-0.19807737281721882,0.1015928728172063,0.0800000000000125,0.0164845
208,2023-07-03 08:08:35.299423264,1,194.05,225.0,-0.29535466383869713,0.22858396383871418,0.04999999999998295,0.0167707
209,2023-07-03 08:08:35.299423264,1,194.04,171.0,-0.15708691803554697,0.08031621803554471,0.060000000000002274,0.0167707
210,2023-07-03 08:08:35.299423264,2,194.03,61.0,-0.14356284241218414,0.056792142412190966,0.06999999999999318,0.0167707
229,2023-07-03 08:09:44.674267162,1,194.0,222.0,-0.07252981820430271,0.025398218204301576,0.030000000000001137,0.0171316
242,2023-07-03 08:10:23.350394016,1,193.97,50.0,-0.07237731820430271,0.025398218204301576,0.030000000000001137,0.0169791
247,2023-07-03 08:10:35.266623411,1,193.97,185.0,-0.20613132322316352,0.17959252322317262,0.009999999999990905,0.0165388
260,2023-07-03 08:11:08.479769664,2,193.96,111.0,-0.09733141803554471,0.08031621803554471,0.0,0.0170152
268,2023-07-03 08:11:31.974733512,2,194.0,226.0,-0.28519517645094183,0.2687894764509418,0.0,0.0164057
270,2023-07-03 08:11:31.974748090,1,194.0,106.0,-0.2852636764509418,0.2687894764509418,0.0,0.0164742
279,2023-07-03 08:11:43.012969083,2,194.07,87.0,-0.09706111803554471,0.08031621803554471,0.0,0.0167449
282,2023-07-03 08:11:49.346960376,1,194.09,53.0,-0.12434631393390358,0.10775551393390358,0.0,0.0165908
284,2023-07-03 08:11:53.827974700,2,194.12,140.0,-0.13695051803553676,0.08031621803554471,0.03999999999999204,0.0166343
298,2023-07-03 08:13:34.271417839,2,194.1,73.0,-0.0832448424122103,0.056792142412190966,0.010000000000019327,0.0164527
302,2023-07-03 08:13:36.245226028,1,194.09,156.0,-0.09895197497641592,0.062212674976405695,0.020000000000010232,0.0167393
304,2023-07-03 08:13:54.998093551,1,194.05,221.0,-0.14840310928927133,0.07183700928926906,0.060000000000002274,0.0165661
311,2023-07-03 08:14:13.905835196,2,194.11,96.0,-0.04187971820430157,0.025398218204301576,0.0,0.0164815
320,2023-07-03 08:14:27.759016393,2,194.02,217.0,-0.17741811803552882,0.08031621803554471,0.07999999999998408,0.0171019
324,2023-07-03 08:14:45.457003155,1,194.02,72.0,-0.14712971803552766,0.08031621803554471,0.04999999999998295,0.0168135
331,2023-07-03 08:14:48.645520202,1,194.07,241.0,-0.22646262322317376,0.17959252322317262,0.030000000000001137,0.0168701
